City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000023,Avignon,43.9492493,4.8059012,2025-07-14,38,9,5,4,7.0,10d,🌦️,Pluie intermittente
FR000023,Avignon,43.9492493,4.8059012,2025-07-15,38,11,6,2,7.0,01d,☀️,Ciel dégagé
FR000024,Uzes,44.0121279,4.4196718,2025-07-08,28,10,5,348,8.9,03d,⛅,Nuages épars
FR000024,Uzes,44.0121279,4.4196718,2025-07-09,31,8,5,35,9.35,01d,☀️,Ciel dégagé
FR000024,Uzes,44.0121279,4.4196718,2025-07-10,33,7,4,12,9.03,01d,☀️,Ciel dégagé
FR000024,Uzes,44.0121279,4.4196718,2025-07-11,34,7,4,202,9.24,01d,☀️,Ciel dégagé
FR000024,Uzes,44.0121279,4.4196718,2025-07-12,33,8,5,192,8.3,02d,🌤️,Peu nuageux
FR000024,Uzes,44.0121279,4.4196718,2025-07-13,32,6,4,198,9.0,02d,🌤️,Peu nuageux
FR000024,Uzes,44.0121279,4.4196718,2025-07-14,38,8,5,8,9.0,10d,🌦️,Pluie intermittente
FR000024,Uzes,44.0121279,4.4196718,2025-07-15,37,10,5,12,9.0,01d,☀️,Ciel dégagé
FR000025,Nimes,43.8374249,4.3600687,2025-07-08,29,10,5,344,8.56,01d,☀️,Ciel dégagé
FR000025,Nimes,43.8374249,4.3600687,2025-07-09,34,7,4,11,9.11,01d,☀️,Ciel dégagé
FR000025,Nimes,43.8374249,4.3600687,2025-07-10,35,7,4,22,8.82,01d,☀️,Ciel dégagé
FR000025,Nimes,43.8374249,4.3600687,2025-07-11,34,6,4,184,8.94,01d,☀️,Ciel dégagé
FR000025,Nimes,43.8374249,4.3600687,2025-07-12,32,6,4,194,5.68,10d,🌦️,Pluie intermittente
FR000025,Nimes,43.8374249,4.3600687,2025-07-13,32,6,4,189,6.0,03d,⛅,Nuages épars
FR000025,Nimes,43.8374249,4.3600687,2025-07-14,38,4,3,31,6.0,10d,🌦️,Pluie intermittente
FR000025,Nimes,43.8374249,4.3600687,2025-07-15,39,9,5,3,6.0,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-08,29,10,5,6,8.56,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-09,27,8,5,11,9.11,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-10,29,7,4,235,8.82,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-11,27,6,4,158,8.94,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-12,26,5,3,165,5.68,10d,🌦️,Pluie intermittente
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-13,26,6,4,167,6.0,10d,🌦️,Pluie intermittente
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-14,28,12,6,257,6.0,01d,☀️,Ciel dégagé
FR000026,Aigues Mortes,43.5661521,4.19154,2025-07-15,36,11,6,303,6.0,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-08,28,12,6,17,8.59,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-09,27,11,6,9,9.03,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-10,28,8,5,3,8.78,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-11,26,7,4,162,8.91,01d,☀️,Ciel dégagé
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-07-12,25,5,3,171,6.47,10d,🌦️,Pluie intermittente
